日期,原神
2023-08-23,108607
2023-08-24,108059
2023-08-25,108102
2023-08-26,111068
2023-08-27,106783
2023-08-28,97989
2023-08-29,95812
2023-08-30,93149
2023-08-31,80244
2023-09-01,78954
2023-09-02,100512
2023-09-03,85066
2023-09-04,55101
2023-09-05,65194
2023-09-06,63067
2023-09-07,62190
2023-09-08,92694
2023-09-09,135290
2023-09-10,105762
2023-09-11,58609
2023-09-12,58559
2023-09-13,60793
2023-09-14,60892
2023-09-15,108789
2023-09-16,163097
2023-09-17,117498
2023-09-18,65604
2023-09-19,64712
2023-09-20,63382
2023-09-21,60879
2023-09-22,82155
2023-09-23,124869
2023-09-24,102117
2023-09-25,61789
2023-09-26,67807
2023-09-27,125654
2023-09-28,191782
2023-09-29,276058
2023-09-30,207574
2023-10-01,190450
2023-10-02,163155
2023-10-03,151098
2023-10-04,143320
2023-10-05,135724
2023-10-06,114602
2023-10-07,79928
2023-10-08,75252
2023-10-09,71428
2023-10-10,71173
2023-10-11,71479
2023-10-12,72645
2023-10-13,104662
2023-10-14,157385
2023-10-15,121366
2023-10-16,64152
2023-10-17,65583
2023-10-18,64712
2023-10-19,64431
2023-10-20,85146
2023-10-21,144281
2023-10-22,108241
2023-10-23,51756
2023-10-24,47872
2023-10-25,43103
2023-10-26,46309
